 
****************************************
Report : area
Design : SystolicPod
Version: P-2019.03-SP1
Date   : Thu Sep 16 18:43:37 2021
****************************************

Library(s) Used:

    tcbn28hpmbwp35ss0p81v125c (File: /opt/tsmc/28nm/cln28hpm/stclib/9-track/Front_End/timing_power_noise/NLDM/tcbn28hpmbwp35_120a/tcbn28hpmbwp35ss0p81v125c.db)

Number of ports:                        76213
Number of nets:                        675697
Number of cells:                       557713
Number of combinational cells:         512900
Number of sequential cells:             43783
Number of macros/black boxes:               0
Number of buf/inv:                      59234
Number of references:                     132

Combinational area:             410891.132786
Buf/Inv area:                    14814.616511
Noncombinational area:           81457.609243
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                492348.742029
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
array/PE_12_20                       368.2665      0.1     323.7975     44.4690  0.0000  ProcessingElement_619
array/PE_12_21                       366.4440      0.1     321.9750     44.4690  0.0000  ProcessingElement_618
array/PE_12_22                       366.6870      0.1     322.5825     44.1045  0.0000  ProcessingElement_617
array/PE_12_23                       363.7710      0.1     319.6665     44.1045  0.0000  ProcessingElement_616
array/PE_12_24                       366.6870      0.1     322.2180     44.4690  0.0000  ProcessingElement_615
array/PE_12_25                       366.9300      0.1     322.8255     44.1045  0.0000  ProcessingElement_614
array/PE_12_26                       365.8365      0.1     321.7320     44.1045  0.0000  ProcessingElement_613
array/PE_12_27                       368.0235      0.1     323.9190     44.1045  0.0000  ProcessingElement_612
array/PE_12_28                       365.3505      0.1     321.2460     44.1045  0.0000  ProcessingElement_611
array/PE_12_29                       367.2945      0.1     323.1900     44.1045  0.0000  ProcessingElement_610
array/PE_12_3                        366.3225      0.1     322.5825     43.7400  0.0000  ProcessingElement_636
array/PE_12_30                       367.5375      0.1     323.0685     44.4690  0.0000  ProcessingElement_609
array/PE_12_31                       366.3225      0.1     321.4890     44.8335  0.0000  ProcessingElement_608
array/PE_12_4                        365.9580      0.1     322.2180     43.7400  0.0000  ProcessingElement_635
array/PE_12_5                        366.4440      0.1     321.9750     44.4690  0.0000  ProcessingElement_634
array/PE_12_6                        370.8180      0.1     326.3490     44.4690  0.0000  ProcessingElement_633
array/PE_12_7                        368.0235      0.1     323.9190     44.1045  0.0000  ProcessingElement_632
array/PE_12_8                        370.3320      0.1     326.2275     44.1045  0.0000  ProcessingElement_631
